АБ115;Джемпер женский;158-164- 92- 98;;Вискоза;<>;демисезонный вязаное;НЕТ;1;60;72
АБ119;Джемпер женский;158-164- 84- 90;;ФИЛИВИВИ;Шерсть 50%, ПАН 50%;демисезонный вязаное;НЕТ;1;42;50,4
АБ129;Джемпер женский;158-164- 88- 94;;П/Ш бел.;ПАН 67%, Шерсть 28%, Хлопок 4% ПЭ 1%;демисезонный вязаное;НЕТ;1;34;40,8
АБ130;Брюки женские;170-176- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;НЕТ;1;46;55,2
АБ130А;Брюки женские;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;НЕТ;1;46;55,2
АБ147;Джемпер женский;158-164- 96-102;;;ПАН 67%, Шерсть 30%, Метанит 3%;НЕТ;Stoll CMS 530HP multi dangle класс E 2,5.2;1;51;61,2
АБ149ДБ;Платье женское;158-164- 96-102;;Бархат;Хлопок 84%,ПЭ 16%;демисезонный полотно;НЕТ;1;20;24
АБ149ДБ;Платье женское;158-164-100-106;;Бархат;Хлопок 84%,ПЭ 16%;демисезонный полотно;НЕТ;1;20;24
АБ150ДБ;Джемпер женский;158-164- 88- 94;;Бархат;<>;демисезонный полотно;НЕТ;1;15;18
АБ159;Джемпер женский;152- 84- 90;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;9;46;55,2
АБ159;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%, ПАН 49% Метанит 1%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;46;55,2
АБ160;Джемпер женский;170-176- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;НЕТ;Stoll CMS 433TC класс 5;1;36;43,2
АБ160;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;НЕТ;Stoll CMS 433TC класс 5;1;36;43,2
АБ160;Джемпер женский;158-164- 92- 98;;Х/Б;Хлопок 50%  ПАН 50%;НЕТ;Stoll CMS 433TC класс 5;1;36;43,2
АБ163;Жакет женский;158-164- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;20;24
АБ168;Джемпер женский;158-164- 88- 94;;Вискоза;Вискоза 80%, ПЭ 14%, Метанит 6%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;65;78
АБ168;Джемпер женский;158-164- 92- 98;;Вискоза;Вискоза 80%, ПЭ 14%, Метанит 6%;демисезонный вязаное;Stoll CMS 530HP multi dangle класс E 6.2;1;65;78
АБ188;Джемпер женский;158-164- 96-102;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;НЕТ;1;52;62,4
АБ197ЛХ;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 92%, Эластан 8%;лето;НЕТ;1;21;25,2
АБ200;Свитер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;НЕТ;1;29;34,8
АБ200;Свитер женский;170-176- 96-102;;Х/Б;Хлопок 50%  ПАН 50%;демисезонный вязаное;НЕТ;1;29;34,8
АБ201ДБ;Джемпер женский;158-164-104-110;;Бархат;Хлопок 84%, ПЭ 16%, отделка: Хлопок 50%, ПАН 50%;демисезонный полотно;НЕТ;1;15;18
АБ212;Жакет женский;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;58;69,6
АБ212;Жакет женский;170-176- 92- 98;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;58;69,6
АБ256;Жакет женский;158-164-100-106;;Х/Б;Хлопок 50%  ПАН 50%;зима;Stoll CMS 530HP multi dangle класс E 2,5.2;1;60;72
АБ274;Джемпер женский;158-164- 96-102;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;НЕТ;1;60;72
АБ282;Джемпер женский;158-164- 92- 98;;Вискоза;Акрил 60%, Вискоза 25%, ПЭ 15%;зима;НЕТ;2;43;51,6
АБ283;Брюки женские;158-164- 84- 90;;Вискоза;Акрил 60%, Вискоза 25%, ПЭ 15%;зима;НЕТ;1;64;76,8
АБ283А;Брюки женские;158-164- 84- 90;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;НЕТ;1;50;60
АБ283А;Брюки женские;158-164- 88- 94;;П/Ш бел.;Шерсть 30% ПАН 70%;зима;НЕТ;1;50;60
АБ284;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;лето;НЕТ;1;55;66
АБ286;Джемпер женский;158-164- 92- 98;;Ламслук;Акрил 90%, Шерсть 10%;зима;НЕТ;1;37,9;45,48
АБ290;Джемпер женский;158-164- 84- 90;;Х/Б;Хлопок 50%  ПАН 50%;лето;Stoll CMS 530HP multi dangle класс E 2,5.2;9;39;46,8
АБ290;Джемпер женский;158-164- 88- 94;;Х/Б;Хлопок 50%  ПАН 50%;лето;Stoll CMS 530HP multi dangle класс E 2,5.2;2;39;46,8
АБ293Ж;Жилет женский;170-176- 88- 94;;П/Ш бел.;<>;зима;Stoll CMS 530HP multi dangle класс E 6.2;2;24;28,8
АБ293М;Жилет мужской;158-164- 84;;П/Ш бел.;<>;зима;Stoll CMS 530HP multi dangle класс E 6.2;1;24;28,8
АБ301;Джемпер женский;158-164-100-106;;Х/Б;<>;лето;Stoll CMS 530HP multi dangle класс E 2,5.2;1;40;48
АБ302;Джемпер женский;158-164- 92- 98;;Х/Б;Хлопок 50%, ПАН 50%;лето;Stoll CMS 530HP multi dangle класс E 2,5.2;1;35;42
АБ303;Джемпер женский;158-164- 96-102;;Х/Б;Хлопок 50%, ПАН 50%;лето;Stoll CMS 530HP multi dangle класс E 2,5.2;1;35;42
